documento_id,caminho,motivo
"DOC_IRRIGACAO_FAO_001","originais/fao/DOC_IRRIGACAO_FAO_001.pdf","arquivo inexistente ou ilegível: ENOENT: no such file or directory, open 'C:\Users\Alessandra\Downloads\izesagroback\IZES-AGRO-1\conhecimento-rag\originais\fao\DOC_IRRIGACAO_FAO_001.pdf'"
"DOC_SENSOR_ARTIGO_003","originais/artigos_cientificos/DOC_SENSOR_ARTIGO_003.pdf","arquivo inexistente ou ilegível: ENOENT: no such file or directory, open 'C:\Users\Alessandra\Downloads\izesagroback\IZES-AGRO-1\conhecimento-rag\originais\artigos_cientificos\DOC_SENSOR_ARTIGO_003.pdf'"
